1 啊！老师，多么神圣的职务啊;啊！老师，多么的刻敬职守啊
1 快乐，是给口干舌燥的人一壶甘甜的泉水;快乐，是给寒冷的人送去一堆炭火
1 快乐，是给寒冷的人送去一堆炭火;快乐，是给饥饿的人一块面包。
1 快乐是什么？也许医生会说，快乐是治好病人;快乐是什么？也许农民会说，快乐是年年好丰收
1 快乐是什么？也许农民会说，快乐是年年好丰收;快乐是什么？也许渔夫会说，快乐是钓上大鱼，买个好价钱。
1 恐惧时，父爱是一块踏脚的石;黑暗时，父爱是一盏照明的灯
1 黑暗时，父爱是一盏照明的灯;枯竭时，父爱是一湾生命之水
1 枯竭时，父爱是一湾生命之水;努力时，父爱是精神上的支柱
1 努力时，父爱是精神上的支柱;成功时，父爱又是鼓励与警钟。
1 只有宽容，世界才會和平;只有宽容，各民族與各民族之間才會和平相處。
1 宽容是雨，滋潤了多少人的胸膛;宽容是風，吹散了無數人的惆悵
1 宽容是風，吹散了無數人的惆悵;宽容是燈，點亮了幾多人的希望
1 宽容是燈，點亮了幾多人的希望;宽容是河，容納了如許多的夢想。
1 宽容是容納大樹小草的田野，是接受陽光暴雨的天空，是包容碧波汙泥的河流;宽容是吹開閉鎖保守的清風，是洗滌狹隘自私的雨水，是洗滌汙穢黑暗的甘泉。
1 宽容，能使人與人之間變得更加親切友好;宽容，能使社會變得更加和諧溫馨
1 宽容，能使社會變得更加和諧溫馨;宽容，能使世界變得更加和平歡樂。
1 宽容是一束光，折射出一個人良好的涵養;宽容是一座橋，支撐你跨越艱難，走向成功
1 宽容是一座橋，支撐你跨越艱難，走向成功;宽容是一條線，劃定你為人處世的基本底線。
1 宽容，就像一段舒緩的音樂，能撫慰心靈的傷痛;宽容，就像一縷和眴的陽光，能融化心靈的堅冰
1 宽容，就像一縷和眴的陽光，能融化心靈的堅冰;宽容，就像一團熊熊的烈火，能照亮心靈的黑暗。
1 老师是朋友，和我們經常談心;老师是長輩，關心著我們的成長變化
1 老师是長輩，關心著我們的成長變化;老师是引路人，在我們迷茫的時候，給我們指出前進的方向。
1 老师，是辛勤的園丁，培育著我們一朵朵小花;老师，是我們的母親，給予我們關愛
1 老师，是我們的母親，給予我們關愛;老师，是偉大的建築師，給我們建立了學校的橋梁
1 老师，是偉大的建築師，給我們建立了學校的橋梁;老师，是指路燈，給我們照亮了前方。
1 老师是火種，點燃了學生的心靈之火;老师是石級，承受著學生一步步的攀登
1 老师是石級，承受著學生一步步的攀登;老师是蠟燭，照亮了別人，耗盡了自己。
1 老师是蠟燭，燃燒自己，照亮別人;老师是春蠶，吐盡銀絲贈他人禦風寒
1 老师是春蠶，吐盡銀絲贈他人禦風寒;老师是園丁，用心澆灌祖國的花朵
1 老师是園丁，用心澆灌祖國的花朵;老师是蜜蜂，采花釀蜜共育著下一代。
1 老师是奶牛，吃的是草擠出的是奶;老师是塑工，為社會塑造美好的靈魂
1 老师是塑工，為社會塑造美好的靈魂;老师是春天，用心血澆灌祖國的未來。
1 老师是朋友，和我們經常談心;老师是長輩，關心著我們的成長變化
1 老师是長輩，關心著我們的成長變化;老师是引路人，在我們迷茫的時候，給我們指出前進的方向。
1 老师是辛勤的園丁，幫我們培養成參天大樹;老师是一根蠟燭，照亮了別人燃燒了自己
1 老师是一根蠟燭，照亮了別人燃燒了自己;老师是靈魂的工程師，為國家培育了一批批優秀人才。
1 老师是辛勤的園丁，培育著桃李;老师是紅燭，燃燒自己，照亮我們
1 老师是紅燭，燃燒自己，照亮我們;老师是春蠶，默默無聞，無私無畏
1 老师是春蠶，默默無聞，無私無畏;老师是一盞燈，為我們照亮前方的道路
1 老师是一架穿梭機，能帶我們穿越曆史長河;老师是一把鑰匙，能幫我們打開迷惘的心鎖
1 老师是一把鑰匙，能幫我們打開迷惘的心鎖;老师是一顆啟明星，帶領我們走向灑滿陽光的天堂
1 老师是園丁，辛勤地培育祖國的花朵;老师是燈塔，引領我們走向成功的彼岸
1 老师是燈塔，引領我們走向成功的彼岸;老师是蜜蜂，為我們采集甜蜜的碩果。
1 老师是園丁，哺育著我們;老师是媽媽，教育著我們學會做人
1 老师是媽媽，教育著我們學會做人;老师是同伴，和我們一起歡樂
1 老师像一座通向知识海岸的长桥;老师像一支蜡烛，燃烧了自己，照亮了我们
1 老师像一支蜡烛，燃烧了自己，照亮了我们;老师像一棵大树，为我们遮风挡雨
1 老师像一棵大树，为我们遮风挡雨;老师，大家都说您培养着祖国的栋梁。
1 老师像一盏灯，照亮了学生前进的道路;老师像一位辛勤的园丁，培养了许多茁壮成长的小树苗
1 老师像一位辛勤的园丁，培养了许多茁壮成长的小树苗;老师像一支蜡烛，燃烧自己，照亮别人。
1 老师像春蚕，为学生吐出最后一根丝;老师像蜡烛，照亮了学生，燃烧了自己，为学生流下最后一滴泪
1 老师像蜡烛，照亮了学生，燃烧了自己，为学生流下最后一滴泪;老师像火种，播散下去便能燃起燎原之火
1 老师像火种，播散下去便能燃起燎原之火;老师像园艺师，培育出千万朵美丽的花
1 老师像园艺师，培育出千万朵美丽的花;老师像人类灵魂的工程师，荡涤了人类的灵魂，使之得以净化
1 老师像人类灵魂的工程师，荡涤了人类的灵魂，使之得以净化;老师像工程师，为学生勾勒出一张张理想的蓝图
1 老师像工程师，为学生勾勒出一张张理想的蓝图;老师像一本万能的书，教学生把自己保存的巨大财富拿走，却还欣慰的笑着
1 他们无私地传授我们知识，像辛勤的园丁培育花草;他们教我们做人，像火种点亮了我们的心灵之火，照亮了我们的前方
1 他们教我们做人，像火种点亮了我们的心灵之火，照亮了我们的前方;他们无微不至地关怀我们，像妈妈哺育孩子。
1 老师是培育祖国花朵的辛勤园丁;老师是灌溉花园的纯洁清流
1 老师是灌溉花园的纯洁清流;老师是照射小草的温暖阳光。
1 老师可以拿脸做武器，来震慑自己的学生;老师可以拿脸做鲜花，来讨好自己的学生
1 老师可以拿脸做鲜花，来讨好自己的学生;老师可以拿脸做书本，来教育自己的学生。
1 老师是一把金钥匙，把无知的我们领进知识的宝库;老师是一座通向知识海岸的长桥
1 老师是一座通向知识海岸的长桥;老师是一支蜡烛，燃烧了自己，照亮了我们
1 老师是一支蜡烛，燃烧了自己，照亮了我们;老师是一棵大树，为我们遮风挡雨。
1 理想是苗，长成参天大树;理想是树，抽出稚嫩的芽
1 理想是树，抽出稚嫩的芽;理想是芽，开出美丽的花
1 理想是芽，开出美丽的花;理想是花，结出甜美的果。
1 理想让人充满斗志，理想让人不怕困难;理想让人追逐目标，理想让人到达彼岸
1 理想让人追逐目标，理想让人到达彼岸;理想让我们在挫折中毅然站起
1 理想让我们在挫折中毅然站起;理想让我们在困境中找到希望。
1 理想是歌，奏响生命的乐章;理想是乐章，谱写动听的音符
1 理想是乐章，谱写动听的音符;理想是音符，演绎生命的奇迹。
1 理想是石，擦出星星之火;理想是火，点燃希望的灯
1 理想是火，点燃希望的灯;理想是灯，照亮前行的路
1 理想是灯，照亮前行的路;理想是路，引你走向成功。
1 烈日的曝晒击垮不了我们的意志;大雨的倾盆涣散不了我们的队伍
1 大雨的倾盆涣散不了我们的队伍;挥洒的汗水淹没不了我们心中的信念
1 挥洒的汗水淹没不了我们心中的信念;全身的疲惫击败不了我们心中的斗志。
1 落在了树上，挺立的光秃秃的树枝更加帅气;落在了田里，将小麦种子捂得严严实实，使它们来年更加丰硕
1 落在了田里，将小麦种子捂得严严实实，使它们来年更加丰硕;落在了山野间，是山谷中，山峰上披了一层厚毯子，使山看起来更加巍峨。
1 白色的苇叶，只剩半截，在水沟里挣扎;白色的杂草，孤苦伶仃，在园子里寂寞
1 白色的杂草，孤苦伶仃，在园子里寂寞;白色的树干，脱光叶子，在桥两端打颤
1 白色的树干，脱光叶子，在桥两端打颤;橙黄的街灯，犹犹豫豫，在街道旁等待。
1 落叶，像一位孤独无助的老人，徐徐落下;落叶，像一片知识的海洋，带我们去遨游
1 落叶，像一片知识的海洋，带我们去遨游;落叶，像一座山，为我们挡住风沙雨雪。
1 落叶是一首诗，写出了秋的凄婉;落叶是一曲歌，唱响了冬的序曲
1 落叶是一曲歌，唱响了冬的序曲;落叶是一段回忆，包含了春的稚嫩和夏的蓬勃。
1 谅解是一股和煦的春风，能消融凝结在人们心中的坚冰;谅解是一束温暖的阳光，能驱散积聚在人们心头的阴云
1 谅解是一束温暖的阳光，能驱散积聚在人们心头的阴云;谅解是一场绵绵的春雨，能洗涤飘落在人们心头的尘埃
1 谅解是一场绵绵的春雨，能洗涤飘落在人们心头的尘埃;谅解是一阵柔和的清风，能熄灭堆积在人们心中的怒火
1 谅解是一阵柔和的清风，能熄灭堆积在人们心中的怒火;谅解是一滴晶莹的甘露，能滋润人们心中干涸的土地。
1 绿叶的坚持，使秋日用最美的姿态飘零;微风的坚持，把歌声送到思念的地址。
1 六十五个春秋，贫油的国土拱起钢铁的脊梁，石油井架耸立在沙海大洋中;六十五个春秋，一座座彩虹跨越长江，雄伟的三峡大坝锁住千里苍茫
1 六十五个春秋，一座座彩虹跨越长江，雄伟的三峡大坝锁住千里苍茫;六十五个春秋，“两弹”的红云刺破天穹，一颗颗卫星遨游太空。
1 六十五年的风雨沧桑见证，我们六十五年的荣辱与辉煌;六十五年的峥嵘坎坷纪录，我们六十五年奋进的乐章
1 六十五年的峥嵘坎坷纪录，我们六十五年奋进的乐章;六十五年的艰苦创业砥砺，我们必胜的信念。
1 漓江的水真静啊，静得让你感觉不到它在流动;漓江的水真清啊，清得可以看见江底的沙石
1 漓江的水真清啊，清得可以看见江底的沙石;漓江的水真绿啊，绿得仿佛是一块无瑕的翡翠。
1 礼貌是一种习惯，他体现着人们的生活态度;礼貌是一种精神，他体现着人们的风貌。
1 礼貌是一阵清风，爽朗了人们的心情;礼貌是一盏灯，照亮了前程的光明
1 礼貌是一盏灯，照亮了前程的光明;礼貌是一场雨，滋润了干涸的心灵。
1 礼貌是一种气质，展现出你的儒雅;礼貌是一种修养，尽现你的学识
1 礼貌是一种修养，尽现你的学识;礼貌是一种意境，表现出你的素质。
1 礼貌像一盏灯，照亮了你我前行的道路;礼貌像一首歌，交织着你我共同的心声
1 礼貌像一首歌，交织着你我共同的心声;礼貌像一把钥匙，开启了心灵之锁！
1 礼貌是一盏灯，照亮了我们前程的光明;礼貌是一阵风，吹醒了我们往日的迷茫
1 礼貌是一阵风，吹醒了我们往日的迷茫;礼貌是一条路，指引我们越上正确的轨道。
1 礼貌，就是随时捡起地上的垃圾;礼貌，就是随时保护弱小的动物
1 礼貌，就是随时保护弱小的动物;礼貌，就是随时制止斗殴的人群。
1 面对残风暴雨，冰冷大雪，腊梅选择坚持，终赌枝怒放;面对苍茫天穹，无垠大海海鸥选择坚持，终成海上靓丽的风景。
1 满塘污泥，黑否？黑！然而莲花出污泥而不染;“燕雀乌鹊，巢堂坛兮”，末期的楚国，黑否？黑！然而屈原“举世混浊我独清”
1 “燕雀乌鹊，巢堂坛兮”，末期的楚国，黑否？黑！然而屈原“举世混浊我独清”;宦官当权，小人横行，当时的明朝，黑否？黑！然而于谦惟留清白在人间。
1 面对失败和挫折，亲情是一剂良药，填补你那失落的心，然后重整旗鼓，这是一种勇气;面对误解和仇恨，亲情是一杯凉水，浇灭你那心头的火，然后坦然面对，这是一种达观
1 面对误解和仇恨，亲情是一杯凉水，浇灭你那心头的火，然后坦然面对，这是一种达观;面对赞扬和奉承，亲情是一把锥子，刺破你那虚无的梦，然后不断进取。
1 梦想就像是春天，孕育着希望的生命;梦想就像是夏天，开出了希望的花朵
1 梦想就像是夏天，开出了希望的花朵;梦想就像是秋天，收获了希望的果实
1 梦想就像是秋天，收获了希望的果实;梦想就像是冬天，埋下了希望的种子。
1 梦想是一片海，海上烟波飘渺中白帆点点，总有一艘船为你漂浮;梦想是一片天，天高云淡处雁群阵阵，总有一对翅膀为你展开
1 梦想是一片天，天高云淡处雁群阵阵，总有一对翅膀为你展开;梦想是浩淼星空，星空璀璨里流光四溢，总有一个星座在将你守候，守候那美好的明天。
1 梦想是远处的灯塔，指示前进方向;梦想是雪后那抹阳光，温暖一颗心
1 梦想是雪后那抹阳光，温暖一颗心;梦想是五彩的气泡，美丽又易逝。
1 梦想是助人成功的基石;梦想是催人奋进的动力
1 梦想是催人奋进的动力;梦想是勇往直前的源泉。
1 梦想不是现成的粮食，而是一粒需要我去播种的种子;梦想不是绘就的画卷，而是一张白纸，需要我去描画
1 梦想不是绘就的画卷，而是一张白纸，需要我去描画;梦想不是葱笼的绿洲，而是一片荒漠，需要我去开垦。
1 梦想是航灯，指引船舶航行的方向;梦想是曙光，照亮夜行者的路
1 梦想是曙光，照亮夜行者的路;梦想是沙漠中的一眼甘泉，让干枯的行者看到生的希望。
1 梦想是一把利剑，能帮你扫清障碍;梦想是一盏明灯，给你照亮前程
1 梦想是一盏明灯，给你照亮前程;梦想是一座丰碑，帮你见证辉煌。
1 梦想是树，为你撑起绿荫;梦想是光，照溶寒冬的雪
1 梦想是光，照溶寒冬的雪;梦想是雪，滋润土地的水
1 梦想是雪，滋润土地的水;梦想是水，形成无边的海。
1 梦想是陈胜吴广手中飘扬的旗帜;梦想是毛泽东案前飞舞的毛笔
1 梦想是毛泽东案前飞舞的毛笔;梦想是马克思恩格斯书中燃烧着的希望!
1 梦想是生活的延伸和拓展;梦想是人类进步的动力
1 梦想是人类进步的动力;梦想是创造的源泉。
1 梦想是春天，孕育着希望的生命;梦想是夏天，开出了希望的花朵
1 梦想是夏天，开出了希望的花朵;梦想是秋天，收获了希望的果实
1 梦想是秋天，收获了希望的果实;梦想是冬天，埋下了希望的种子。
1 梦想是绳，升起饱满的帆;梦想是帆，推动希望的船
1 梦想是帆，推动希望的船;梦想是船，漂荡理想的海
1 梦想是船，漂荡理想的海;梦想是海，托起光明的阳
1 梦想是海，托起光明的阳;梦想是阳，照亮前进的路。
1 梦想，犹如一阵风，吹向未来;梦想，犹如一艘船，飘向远方
1 梦想，犹如一艘船，飘向远方;梦想，犹如一盏灯，点亮明天。
1 梦想是苗，长成参天大树;梦想是树，抽出稚嫩的芽
1 梦想是树，抽出稚嫩的芽;梦想是芽，开出美丽的花
1 梦想是芽，开出美丽的花;梦想是花，结出甜美的果。
1 梦想让人充满斗志，梦想让人不怕困难;梦想让人追逐目标，梦想让人到达彼岸
1 梦想让人追逐目标，梦想让人到达彼岸;梦想让我们在挫折中毅然站起
1 梦想让我们在挫折中毅然站起;梦想让我们在困境中找到希望。
1 梦想是歌，奏响生命的乐章;梦想是乐章，谱写动听的音符
1 梦想是乐章，谱写动听的音符;梦想是音符，演绎生命的奇迹。
1 母爱是春天的风，吹红了花，吹绿了树;母爱是夏夜的风，吹走闷热，吹来凉爽
1 母爱是夏夜的风，吹走闷热，吹来凉爽;母爱是深秋的风，吹熟果实，吹来歌声
1 母爱是深秋的风，吹熟果实，吹来歌声;母爱是冬日的风，吹走寒冷，吹来春天。
1 母爱是一缕阳光，让你的心灵即使在寒冷的冬天也能感到温暖如春;母爱是一泓清泉，让你的情感即使蒙上岁月的风尘依然纯洁明净。
1 母爱是一泓清泉，即使心灵岁月里风尘蒙沙，也能让你清澈澄净;母爱是一片阳光，即使在寒冷的冬天也能感受春天的温暖
1 母爱是一片阳光，即使在寒冷的冬天也能感受春天的温暖;母爱是一株树，即使季节轮回也固守家园，甘愿撑起一片绿荫。
1 母爱是迷航的灯塔，指引着前进的方向;母爱是冬日的阳光，温暖着赤子的心灵
1 母爱是冬日的阳光，温暖着赤子的心灵;母爱是尽职的卫士，保护着幼小的生命
1 母爱是尽职的卫士，保护着幼小的生命;母爱是春天的细雨，滋润着干涸的土地
1 母爱是春天的细雨，滋润着干涸的土地;母爱是秋天的金黄，展现着丰收的喜悦。
1 母爱是温暖心灵的太阳;母爱是滋润心灵的雨露
1 母爱是滋润心灵的雨露;母爱是灌溉心灵的沃土
1 母爱是灌溉心灵的沃土;母爱是美化心灵的彩虹
1 母爱是美化心灵的彩虹;母爱就是一幅山水画，洗去铅华雕饰，留下清新自然
1 母爱就是一幅山水画，洗去铅华雕饰，留下清新自然;母爱就象一首深情的歌，婉转悠扬，轻吟浅唱
1 母爱就象一首深情的歌，婉转悠扬，轻吟浅唱;母爱就是一阵和煦的风，吹去朔雪纷飞，带来春光无限。
1 母爱如一杯浓浓的香茶，饥渴时给我们带来芳香;母爱如一加光十色的彩虹，失落时给我们带来希望
1 母爱如一加光十色的彩虹，失落时给我们带来希望;母爱如一轮火红的太阳，寒冷时给我们带来温暖
1 母爱如一轮火红的太阳，寒冷时给我们带来温暖;母爱如一盏明亮的路灯，迷失时给我们指明方向。
1 母爱是辽阔的海洋，坦露着宽广的胸怀;母爱是世间最伟大的力量
1 母爱是世间最伟大的力量;母爱是甜蜜的乳汁，哺育着儿女茁壮地成长。
1 母爱就是一幅山水画，洗去铅华雕饰，留下清新自然;母爱就象一首深情的歌，婉转悠扬，轻吟浅唱
1 母爱就象一首深情的歌，婉转悠扬，轻吟浅唱;母爱就是一阵和煦的风，吹去朔雪纷飞，带来春光无限母爱像火红的太阳
1 母爱就是一阵和煦的风，吹去朔雪纷飞，带来春光无限母爱像火红的太阳;母爱像黑夜里的油灯，母爱像冬天里的毛衣
1 母爱像黑夜里的油灯，母爱像冬天里的毛衣;母爱更像山间的溪水。
1 一点一滴的细流汇成潺潺的溪流;一点一滴的关怀汇成浓浓的母爱。
1 母爱，是阳光，在每一个阴霾的日子里给我们温暖;母爱，是大树，在酷热难当的日子里给我们透体的清凉
1 母爱，是大树，在酷热难当的日子里给我们透体的清凉;母爱，是甘泉，汩汩地滋润我们干涸的心田。
1 母爱，它像守护神，当你害怕时，它会立刻向你跑来，赶走那令你害怕的事物;母爱，它像一把熊熊燃烧的火，能照亮儿女的心灵
1 母爱，它像一把熊熊燃烧的火，能照亮儿女的心灵;母爱，它像一艘大大的船，把儿女载向成功的彼岸。
1 母爱就像一把大伞，在急风骤雨中为儿女撑起一个温馨的港湾;母爱就像一把扇子，在烈日炎炎下为儿女扇起一阵凉爽的清风
1 母爱就像一把扇子，在烈日炎炎下为儿女扇起一阵凉爽的清风;母爱就像一座灯塔，在人生大海中为儿女照着一束指引的光芒。
1 母爱是一缕阳光，让你的心灵即使在寒冷的冬天也能感到温暖如春;母爱是一泓清泉，让你的情感即使蒙上岁月的风尘依然纯洁明净。
1 母亲您是大树，我是小草，您为我遮起一片绿荫;母亲您是湖，我是湖中的鱼，您为我提供广阔的活动空间
1 母亲您是湖，我是湖中的鱼，您为我提供广阔的活动空间;母亲您是火炉，为我提供温暖
1 母亲您是火炉，为我提供温暖;母亲您是信封，为我装满了鼓励
1 母亲您是信封，为我装满了鼓励;母亲您是铺路石，为儿女牺牲一切
1 母亲您是铺路石，为儿女牺牲一切;母爱是一缕阳光，让你的心灵即使在寒冷的冬天也能感到温暖如春
1 母爱是一缕阳光，让你的心灵即使在寒冷的冬天也能感到温暖如春;母爱是一泓清泉，让你的情感即使蒙上岁月的风尘依然纯洁明净
1 母爱是一泓清泉，让你的情感即使蒙上岁月的风尘依然纯洁明净;母爱是严冬里的一缕阳光，是游子身上的一件棉衣，是一口沁人心脾的甘甜。
1 母亲的手，如同辽阔的海洋承载着满满的疼爱;母亲的手，如同淡雅的花不是散发着淡淡清香
1 母亲的手，如同淡雅的花不是散发着淡淡清香;母亲的手，如同碧蓝的天空用劳动占给我一片未来。
1 妈妈的手象灯塔，照亮我人生的旅途;妈妈的手象摇篮，抚育我长大
1 妈妈的手象摇篮，抚育我长大;妈妈的手象路标，指引我前进的方向
1 妈妈的手象路标，指引我前进的方向;妈妈的手象树杆，为我撑起一片天空。妈妈的手是灵巧的，是温暖的，是勤劳的。
1 它是一个个音符，串联起我童年的梦想;它是一只有魔法的大雁，带我领略大自然的美妙
1 它是一只有魔法的大雁，带我领略大自然的美妙;它是我快乐的源泉，同样也使我学到许多知识。
1 没有理想，人生就如荒漠，没有生气;没有理想，人生就如黑夜，没有光明
1 没有理想，人生就如黑夜，没有光明;没有理想，人生就如迷宫，没有方向。
1 没有“白头生死鸳鸯浦”的轰轰烈烈，却也使“夕阳无语为之动”;没有“在天愿作比翼鸟，在地愿为连理枝”的海誓山盟，却也是“天长地久有时尽，血脉相连无绝期”的亘古永恒
1 没有“在天愿作比翼鸟，在地愿为连理枝”的海誓山盟，却也是“天长地久有时尽，血脉相连无绝期”的亘古永恒;没有“身似门前双柳树，枝枝叶叶不相离”的长相守，却有“但愿人长久，千里共婵娟”的默默祝愿。
1 没有了创新，整个民族就是死水一滩;没有了创新，一个民族前进的脚步将步履维艰
1 没有了创新，一个民族前进的脚步将步履维艰;没有了创新，一个民族就会被历史遗弃。
1 每一汪水塘里，都有海洋的气息;每一棵嫩叶上，都有春天的芬芳
1 每一棵嫩叶上，都有春天的芬芳;每一棵绿树上，都有森林的苍翠
1 每一棵绿树上，都有森林的苍翠;每一滴露珠上，都有太阳的光辉。
1 明天是幸福的，今天所有未完成的心愿都有机会在哪里达成;明天是美丽的，有太多今天未开的花朵会在那里争奇斗艳
1 明天是美丽的，有太多今天未开的花朵会在那里争奇斗艳;明天是未知的，我们永远不知道会在那里遇见怎样的自己。
1 目标犹如海上的灯塔，指引前进的方向;目标犹如黑夜的火炬，照亮奋斗的路途
1 目标犹如黑夜的火炬，照亮奋斗的路途;目标犹如航行的风帆，推进破浪的航程。
1 目标是我们的理想，激励着我们奋斗;目标是我们前进的方向，指引我们前行
1 目标是我们前进的方向，指引我们前行;目标是我们的座右铭，规范着我们的一言一行。
1 目标是干涸的沙漠中的一汪清泉，鼓励人们勇往直前;目标是黑夜中的一束灯光，指引人们走向黎明
1 目标是黑夜中的一束灯光，指引人们走向黎明;目标是寂寞寒冬中的一丝暖阳，给人们带来希望
1 目标是寂寞寒冬中的一丝暖阳，给人们带来希望;目标是实现心中希望的不竭力量之源，有了目标，就有了希望。
1 鸟儿坚持翱翔，可以飞临远方明亮的天空;鱼儿坚持游弋，可以抵达前方赤红的珊瑚
1 鱼儿坚持游弋，可以抵达前方赤红的珊瑚;爱迪生坚持试验，才能够点燃黑暗中的一盏灯。
1 农民伯伯说：“快乐是收获庄稼。”;司机叔叔说：“快乐是保障客人的安全。”
1 司机叔叔说：“快乐是保障客人的安全。”;教师说：“快乐是看到学生取得优异的成绩。”
1 教师说：“快乐是看到学生取得优异的成绩。”;有个小女孩说：“快乐是跟爸爸妈妈生活在一起。
1 哪里有艰难，哪里就有公民的戎行;哪里有风险，哪里就有迷彩的身影
1 哪里有风险，哪里就有迷彩的身影;那里有艰苦，哪里就有子弟兵的劳动。
1 那荷花，清纯不染;那桃花，姹紫嫣红
1 那桃花，姹紫嫣红;那牡丹，雍容华丽
1 那牡丹，雍容华丽;那玉兰，淡淡幽香
1 那玉兰，淡淡幽香;那樱花，幽幽如歌。
1 逆境就是一首歌，我们应当静静地倾听;逆境就是一首诗，读懂它你会有更深的感触
1 逆境就是一首诗，读懂它你会有更深的感触;逆境就是一面镜子，能让我们更加清楚地看到自己
1 逆境就是一面镜子，能让我们更加清楚地看到自己;逆境就是是口井，即使你身陷其中，仰起头来也能看见一方希望的天空。
1 你是亲情，亲情是你。你是一个重要的枢纽，天上地下，人间万象，都被你缜密地维系;你是一种注定的缘分，从早到晚，从近到远，从生到死，相伴永远
1 你是一种注定的缘分，从早到晚，从近到远，从生到死，相伴永远;你是一首无声的心曲，阳光是你的序曲，月色是你的旋律，还有那烛光是你的音符
1 你是一首无声的心曲，阳光是你的序曲，月色是你的旋律，还有那烛光是你的音符;你是亲情，亲情是你。你望眼欲穿却情意绵绵，你百感交集却一如既往，你处处皆是却感天动地。
1 你以湖的平静，抚平我心灵的高低起伏;你以爱的眼光，目送我孤独的远航
1 你以爱的眼光，目送我孤独的远航;你以有力的臂膀，拥抱我感情的经年流浪。
1 你慵懒时，它呼唤你勤奋;你昏睡时，它呼唤你
1 你昏睡时，它呼唤你;你高傲时，它呼唤你清醒谦恭
1 你高傲时，它呼唤你清醒谦恭;你莽撞时，它呼唤你谨慎
1 你莽撞时，它呼唤你谨慎;你跌倒时，它呼唤你站起。
1 你是昂首高吭的雄鸡——唤醒拂晓的沉默;你是冲天腾飞的巨龙——叱咤时代的风云
1 你是冲天腾飞的巨龙——叱咤时代的风云;你是威风凛凛的雄狮——舞动神州的雄风
1 你是威风凛凛的雄狮——舞动神州的雄风;你是人类智慧的起源——点燃文明的星火。
1 您用汗水浇灌了这富饶的土地;您用勤劳培养了我们坚定的信念
1 您用勤劳培养了我们坚定的信念;您用呐喊宣布了旧时代的灭亡
1 您用呐喊宣布了旧时代的灭亡;您是我们生命永不停息的动力，您是儿女们远航归来的避风港!
1 您不是雨露，却带来了新生的希望;您不是泉水，却带来了生命的甘甜
1 您不是泉水，却带来了生命的甘甜;您不是太阳，却带来了人间的温暖。
1 您不是演员，却吸引着我们饥渴的目光;您不是歌唱家，却让知识的清泉叮咚作响，唱出迷人的歌曲
1 您不是歌唱家，却让知识的清泉叮咚作响，唱出迷人的歌曲;您不是雕塑家，却塑造着一批批青年人的灵魂。
1 您的关怀，让我们感受到长辈的慈爱;您的鼓励，让我们扬起了奋斗的风帆
1 您的鼓励，让我们扬起了奋斗的风帆;您的渊博，让我们沐浴了知识的阳光。
1 您好比一架穿梭机，能带我们穿越历史长河;您好比一把钥匙，能帮我们打开迷惘的心锁
1 您好比一把钥匙，能帮我们打开迷惘的心锁;您好比一颗启明星，带领我们走向洒满阳光的天堂。
1 讴歌我们的历史，有盘古开天辟地的神话，迸发出生命的光芒;讴歌我们的历史，有四大发明的荣耀，播撒在这片荒芜的土地上
1 讴歌我们的历史，有四大发明的荣耀，播撒在这片荒芜的土地上;讴歌我们的历史，有老子孔子的圣明，几千年文明的圣火把我们照亮。
1 凭着健壮的体魄，你可以支撑起一方蔚蓝的天空;凭着顽强的毅力，你可以攀登上一座魏峨的高山
1 凭着顽强的毅力，你可以攀登上一座魏峨的高山;凭着旺盛的精力，你可以开垦出一片肥沃的地
1 凭着旺盛的精力，你可以开垦出一片肥沃的地;凭着超人的智慧，你可以描绘出一幅精美的画卷
1 凭着超人的智慧，你可以描绘出一幅精美的画卷;凭着洋溢的热情，你可以遨游一片汪洋大海
1 凭着洋溢的热情，你可以遨游一片汪洋大海;凭着乐观的精神，你可以走过一丛繁茂的荆棘
1 凭着乐观的精神，你可以走过一丛繁茂的荆棘;凭着无尽的好奇，你可以游览一方神奇的土地。
1 平凡是荒原，孕育着崛起，只要你肯开拓;平凡是泥土，孕育着收获，只要你肯耕耘
1 平凡是泥土，孕育着收获，只要你肯耕耘;平凡是细流，孕育着深邃，只要你肯积累。
1 朋友是快乐日子里的一把吉它，尽情地为你弹奏生活的愉悦;朋友是忧伤日子里的一股春风，轻轻地为你拂去心中的愁云
1 朋友是忧伤日子里的一股春风，轻轻地为你拂去心中的愁云;朋友是成功道路上的一位良师，热情的将你引向阳光的地带
1 朋友是成功道路上的一位良师，热情的将你引向阳光的地带;朋友是失败苦闷中的一盏明灯，默默地为你驱赶心灵的阴霾。
1 朋友是一首歌，總是在我憂傷的時候響起悠揚的音樂;朋友是一盞燈，總是在我迷茫的時候照亮我前行
1 朋友是一盞燈，總是在我迷茫的時候照亮我前行;朋友是一本書，總是在我困惑的時候讓我找到答案。
1 朋友是一本書，一本讓你一生都讀不完的書;朋友是一個港灣，一個可以讓你的心靈休息的港灣
1 朋友是一個港灣，一個可以讓你的心靈休息的港灣;朋友是一束陽光，一束可以讓你的生活充滿溫暖的陽光。
1 朋友是一杯清茶，很淡;朋友是一屢清風，很柔
1 朋友是一屢清風，很柔;朋友是一絲絲的小雨，很甜。
1 朋友是嚴寒冬季的一個暖爐，溫暖地照亮你內心每一個寒冷的角落;朋友是午睡初醒的那杯清茶，用無限的甘甜滋潤每一份快樂心情
